web-scraper-order,web-scraper-start-url,name,phone
"1651750375-2824","https://www.sulekha.com/computer-software-dealers/bangalore","Dell Computers India Pvt. Ltd.",""
"1651750375-2629","https://www.sulekha.com/computer-software-dealers/bangalore","JAMP TECHNOLOGIES",""
"1651750375-2585","https://www.sulekha.com/computer-software-dealers/bangalore","Ugama Computer",""
"1651750375-2580","https://www.sulekha.com/computer-software-dealers/bangalore","LEADB2B Incorporation",""
"1651750375-2532","https://www.sulekha.com/computer-software-dealers/bangalore","Cyberscape Multimedia Ltd.",""
"1651750375-2766","https://www.sulekha.com/computer-software-dealers/bangalore","West Coast Cold Storage",""
"1651750375-2533","https://www.sulekha.com/computer-software-dealers/bangalore","Global Software Initiatives Pvt. Ltd.",""
"1651750375-2768","https://www.sulekha.com/computer-software-dealers/bangalore","Dharma Computers Pvt. Ltd.",""
"1651750375-2847","https://www.sulekha.com/computer-software-dealers/bangalore","Bhima Soft Pvt. Ltd.",""
"1651750375-2741","https://www.sulekha.com/computer-software-dealers/bangalore","akademe.in",""
"1651750375-2556","https://www.sulekha.com/computer-software-dealers/bangalore","Compak Solutions",""
"1651750375-2653","https://www.sulekha.com/computer-software-dealers/bangalore","FREELANCE PLUS",""
"1651750375-2804","https://www.sulekha.com/computer-software-dealers/bangalore","Trilogy Softwares",""
"1651750375-2750","https://www.sulekha.com/computer-software-dealers/bangalore","D Gipro Systems Pvt. Ltd.",""
"1651750375-2784","https://www.sulekha.com/computer-software-dealers/bangalore","G.E. Global Technology Solutions",""
"1651750375-2769","https://www.sulekha.com/computer-software-dealers/bangalore","Abcon Information Systems",""
"1651750375-2576","https://www.sulekha.com/computer-software-dealers/bangalore","SAN-AN Tech Solutions",""
"1651750375-2790","https://www.sulekha.com/computer-software-dealers/bangalore","Caravel Info Systems Pvt. Ltd.",""
"1651750375-2568","https://www.sulekha.com/computer-software-dealers/bangalore","S.L.N. Solutions",""
"1651750375-2896","https://www.sulekha.com/computer-software-dealers/bangalore","Intertec Communications",""
"1651750375-2815","https://www.sulekha.com/computer-software-dealers/bangalore","National Informatics Centre Queens",""
"1651750375-2633","https://www.sulekha.com/computer-software-dealers/bangalore","Pradita Technosoft Private Limited",""
"1651750375-2767","https://www.sulekha.com/computer-software-dealers/bangalore","Health Solutions Pvt. Ltd.",""
"1651750375-2700","https://www.sulekha.com/computer-software-dealers/bangalore","Nous Info Systems Pvt. Ltd.",""
"1651750375-2888","https://www.sulekha.com/computer-software-dealers/bangalore","Collaboration Technologies",""
"1651750375-2696","https://www.sulekha.com/computer-software-dealers/bangalore","GUPKARS ENTERPRISES",""
"1651750375-2571","https://www.sulekha.com/computer-software-dealers/bangalore","Unique Waves",""
"1651750375-2639","https://www.sulekha.com/computer-software-dealers/bangalore","CHERRY COMPUTER SOLUTIONS",""
